Institute ID,Name,City,State,Score,Rank
IR-E-C-1331,M. S. Ramaiah Institute of Technology More Details | |,Bengaluru,Karnataka,49.26,75
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering More Details | |,Kalavakkam,Tamil Nadu,56.08,47
IR-E-C-19754,SR University More Details | |,Warangal,Telangana,47.16,91
IR-E-C-24004,AU College of Engineering (A) More Details | |,Visakhapatnam,Andhra Pradesh,47.37,88
IR-E-C-30045,"C.V. Raman Global University, Odisha More Details | |",Bhubaneswar,Odisha,46.62,95
IR-E-C-36995,Sri Krishna College of Engineering and Technology More Details | |,Coimbatore,Tamil Nadu,45.55,100
IR-E-C-37013,PSG College of Technology More Details | |,Coimbatore,Tamil Nadu,50.64,67
IR-E-C-6379,Netaji Subhas University of Technology (NSUT) More Details | |,Delhi,Delhi,50.43,70
IR-E-C-7252,Manipal Institute of Technology More Details | |,Manipal,Karnataka,52.55,59
IR-E-I-1074,Indian Institute of Technology Delhi More Details | |,New Delhi,Delhi,85.74,2
IR-E-I-1075,Indian Institute of Technology Kanpur More Details | |,Kanpur,Uttar Pradesh,81.82,4
IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences More Details | |,Chennai,Tamil Nadu,56.55,45
IR-E-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university) More Details | |,Patiala,Punjab,60.97,29
IR-E-U-0013,Indian Institute of Technology Hyderabad More Details | |,Hyderabad,Telangana,72.31,7
IR-E-U-0014,International Institute of Information Technology Hyderabad More Details | |,Hyderabad,Telangana,58.45,38
IR-E-U-0017,Jawaharlal Nehru Technological University More Details | |,Hyderabad,Telangana,46.74,94
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering) More Details | |,Vaddeswaram,Andhra Pradesh,58.95,35
IR-E-U-0025,National Institute of Technology Warangal More Details | |,Warangal,Telangana,61.05,28
IR-E-U-0042,University of Hyderabad More Details | |,Hyderabad,Telangana,49.36,74
IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research More Details | |",Guntur,Andhra Pradesh,48.27,80
IR-E-U-0053,Indian Institute of Technology Guwahati More Details | |,Guwahati,Assam,72.24,8
IR-E-U-0055,National Institute of Technology Silchar More Details | |,Silchar,Assam,55.91,50
IR-E-U-0064,Indian Institute of Technology Patna More Details | |,Patna,Bihar,64.52,19
IR-E-U-0072,National Institute of Technology Patna More Details | |,Patna,Bihar,53.89,53
IR-E-U-0078,Panjab University More Details | |,Chandigarh,Chandigarh,46.9,93
IR-E-U-0092,"National Institute of Technology, Raipur More Details | |",Raipur,Chhattisgarh,47.59,86
IR-E-U-0098,Delhi Technological University More Details | |,New Delhi,Delhi,60.85,30
IR-E-U-0105,Indraprastha Institute of Information Technology More Details | |,New Delhi,Delhi,51.33,63
IR-E-U-0108,Jamia Millia Islamia More Details | |,New Delhi,Delhi,62.42,24
IR-E-U-0139,Indian Institute of Technology Gandhinagar More Details | |,Gandhinagar,Gujarat,62.31,25
IR-E-U-0147,Pandit Deendayal Energy University More Details | |,Gandhinagar,Gujarat,45.97,98
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology More Details | |,SURAT,Gujarat,50.77,66
IR-E-U-0172,National Institute of Technology Kurukshetra More Details | |,Kurukshetra,Haryana,47.98,85
IR-E-U-0184,Indian Institute of Technology Mandi More Details | |,Mandi,Himachal Pradesh,62.08,26
IR-E-U-0189,National Institute of Technology Hamirpur More Details | |,Hamirpur,Himachal Pradesh,46.1,97
IR-E-U-0197,National Institute of Technology Srinagar More Details | |,Srinagar,Jammu and Kashmir,50.23,73
IR-E-U-0202,Birla Institute of Technology More Details | |,Ranchi,Jharkhand,55.28,51
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines) More Details | |,Dhanbad,Jharkhand,65.37,15
IR-E-U-0207,"National Institute of Technology, Jamshedpur More Details | |",Jamshedpur,Jharkhand,48.25,82
IR-E-U-0217,Christ University More Details | |,Bengaluru,Karnataka,49.03,76
IR-E-U-0221,International Institute of Information Technology Bangalore More Details | |,Bengaluru,Karnataka,50.46,69
IR-E-U-0223,"Jain university,Bangalore More Details | |",Bengaluru,Karnataka,48.01,84
IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal More Details | |",Surathkal,Karnataka,64.59,17
IR-E-U-0255,Indian Institute of Space Science and Technology More Details | |,Thiruvananthapuram,Kerala,52.44,61
IR-E-U-0263,National Institute of Technology Calicut More Details | |,Kozhikode,Kerala,63.05,21
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management More Details | |,Gwalior,Madhya Pradesh,46.25,96
IR-E-U-0273,Indian Institute of Technology Indore More Details | |,Indore,Madhya Pradesh,66.65,12
IR-E-U-0284,Maulana Azad National Institute of Technology More Details | |,Bhopal,Madhya Pradesh,48.26,81
IR-E-U-0297,Defence Institute of Advanced Technology More Details | |,Pune,Maharashtra,46.98,92
IR-E-U-0306,Indian Institute of Technology Bombay More Details | |,Mumbai,Maharashtra,83.65,3
IR-E-U-0308,Institute of Chemical Technology More Details | |,Mumbai,Maharashtra,57.96,41
IR-E-U-0329,Symbiosis International More Details | |,Pune,Maharashtra,56.22,46
IR-E-U-0334,"Visvesvaraya National Institute of Technology, Nagpur More Details | |",Nagpur,Maharashtra,56.58,44
IR-E-U-0355,Indian Institute of Technology Bhubaneswar More Details | |,Bhubaneswar,Odisha,58.22,39
IR-E-U-0356,Kalinga Institute of Industrial Technology More Details | |,Bhubaneswar,Odisha,58.79,36
IR-E-U-0357,National Institute of Technology Rourkela More Details | |,Rourkela,Odisha,66.62,13
IR-E-U-0363,Siksha `O` Anusandhan More Details | |,Bhubaneswar,Odisha,62.58,22
IR-E-U-0373,Chitkara  University More Details | |,Rajpura,Punjab,47.34,89
IR-E-U-0374,"Dr. B R Ambedkar National Institute of Technology, Jalandhar More Details | |",Jalandhar,Punjab,53.38,55
IR-E-U-0378,Indian Institute of Technology Ropar More Details | |,Rupnagar,Punjab,59.66,32
IR-E-U-0379,Lovely Professional University More Details | |,Phagwara,Punjab,55.99,48
IR-E-U-0384,Sant Longowal Institute of Engineering & Technology More Details | |,Longowal,Punjab,48.42,79
IR-E-U-0389,Banasthali Vidyapith More Details | |,Banasthali,Rajasthan,50.38,71
IR-E-U-0391,Birla Institute of Technology  & Science -Pilani More Details | |,Pilani,Rajasthan,67.02,11
IR-E-U-0395,Indian Institute of Technology Jodhpur More Details | |,Jodhpur,Rajasthan,61.31,27
IR-E-U-0410,Malaviya National Institute of Technology More Details | |,Jaipur,Rajasthan,57.45,42
IR-E-U-0436,Amrita Vishwa Vidyapeetham More Details | |,Coimbatore,Tamil Nadu,62.46,23
IR-E-U-0439,Anna University More Details | |,Chennai,Tamil Nadu,63.51,20
IR-E-U-0456,Indian Institute of Technology Madras More Details | |,Chennai,Tamil Nadu,88.72,1
IR-E-U-0458,Kalasalingam Academy of Research and Education More Details | |,Krishnan Koil,Tamil Nadu,59.03,33
IR-E-U-0467,National Institute of Technology Tiruchirappalli More Details | |,Tiruchirappalli,Tamil Nadu,68.14,9
IR-E-U-0473,S.R.M. Institute of Science and Technology More Details | |,Chennai,Tamil Nadu,65.83,14
IR-E-U-0474,Sathyabama Institute of Science and Technology More Details | |,Chennai,Tamil Nadu,50.64,67
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy More Details | |,Thanjavur,Tamil Nadu,58.02,40
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology More Details | |,Chennai,Tamil Nadu,47.43,87
IR-E-U-0490,Vellore Institute of Technology More Details | |,Vellore,Tamil Nadu,65.25,16
IR-E-U-0496,Aligarh Muslim University More Details | |,Aligarh,Uttar Pradesh,59.01,34
IR-E-U-0497,Amity University More Details | |,Gautam Budh Nagar,Uttar Pradesh,58.53,37
IR-E-U-0530,Motilal Nehru National Institute of Technology More Details | |,Prayagraj,Uttar Pradesh,52.15,62
IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology More Details | |,Amethi,Uttar Pradesh,48.52,78
IR-E-U-0555,Graphic Era University More Details | |,Dehradun,Uttarakhand,55.26,52
IR-E-U-0560,Indian Institute of Technology Roorkee More Details | |,Roorkee,Uttarakhand,75.44,6
IR-E-U-0564,UPES More Details | |,Dehradun,Uttarakhand,56.99,43
IR-E-U-0573,Indian Institute of Technology Kharagpur More Details | |,Kharagpur,West Bengal,78.69,5
IR-E-U-0575,Jadavpur University More Details | |,Kolkata,West Bengal,64.54,18
IR-E-U-0577,National Institute of Technology Durgapur More Details | |,Durgapur,West Bengal,55.94,49
IR-E-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur More Details | |",Howrah,West Bengal,53.63,54
IR-E-U-0619,National Institute of Technology Meghalaya More Details | |,Shillong,Meghalaya,48.21,83
IR-E-U-0621,National Institute of Technology Puducherry More Details | |,Karaikal,Pondicherry,45.83,99
IR-E-U-0622,National Institute of Technology Delhi More Details | |,Delhi,Delhi,50.79,65
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi More Details | |,Varanasi,Uttar Pradesh,67.24,10
IR-E-U-0739,Madan Mohan Malaviya University of Technology More Details | |,Gorakhpur,Uttar Pradesh,52.45,60
IR-E-U-0747,Chandigarh University More Details | |,Mohali,Punjab,60.46,31
IR-E-U-0749,Manipal University Jaipur More Details | |,Jaipur,Rajasthan,52.69,58
IR-E-U-0844,"Indian Institute of Technology, Tirupati More Details | |",Tirupati,Andhra Pradesh,52.73,57
IR-E-U-0878,Indian Institute of Technology Palakkad More Details | |,Palakkad,Kerala,51.2,64
IR-E-U-0899,Indian Institute of Technology Dharwad More Details | |,Dharwad,Karnataka,48.61,77
IR-E-U-0906,Indian Institute of Technology Jammu More Details | |,Jammu,Jammu and Kashmir,53.08,56
IR-E-U-0946,Indian Institute of Technology Bhilai More Details | |,Durg,Chhattisgarh,50.37,72
IR-E-U-1257,COEP Technological University More Details | |,Pune,Maharashtra,47.31,90
